Category,Metric,Results
[OVERALL], RunTime(ms), 31086
[OVERALL], Throughput(ops/sec), 32.16882197773918
[TOTAL_GCS_Copy], Count, 3
[TOTAL_GC_TIME_Copy], Time(ms), 189
[TOTAL_GC_TIME_%_Copy], Time(%), 0.6079907353792704
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 3
[TOTAL_GC_TIME], Time(ms), 189
[TOTAL_GC_TIME_%], Time(%), 0.6079907353792704
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 25064.0
[CLEANUP], MinLatency(us), 25056
[CLEANUP], MaxLatency(us), 25071
[CLEANUP], 95thPercentileLatency(us), 25071
[CLEANUP], 99thPercentileLatency(us), 25071
[INSERT], Operations, 1000
[INSERT], AverageLatency(us), 22533.687
[INSERT], MinLatency(us), 3964
[INSERT], MaxLatency(us), 440575
[INSERT], 95thPercentileLatency(us), 40863
[INSERT], 99thPercentileLatency(us), 58591
[INSERT], Return=OK, 1000
[OVERALL], RunTime(ms), 203334
[OVERALL], Throughput(ops/sec), 49.18016662240451
[TOTAL_GCS_Copy], Count, 16
[TOTAL_GC_TIME_Copy], Time(ms), 396
[TOTAL_GC_TIME_%_Copy], Time(%), 0.1947534598247219
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 16
[TOTAL_GC_TIME], Time(ms), 396
[TOTAL_GC_TIME_%], Time(%), 0.1947534598247219
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 18488.0
[CLEANUP], MinLatency(us), 18480
[CLEANUP], MaxLatency(us), 18495
[CLEANUP], 95thPercentileLatency(us), 18495
[CLEANUP], 99thPercentileLatency(us), 18495
[INSERT], Operations, 10000
[INSERT], AverageLatency(us), 19261.0501
[INSERT], MinLatency(us), 2824
[INSERT], MaxLatency(us), 508159
[INSERT], 95thPercentileLatency(us), 39711
[INSERT], 99thPercentileLatency(us), 57407
[INSERT], Return=OK, 10000
[OVERALL], RunTime(ms), 868339
[OVERALL], Throughput(ops/sec), 115.16239625307628
[TOTAL_GCS_Copy], Count, 147
[TOTAL_GC_TIME_Copy], Time(ms), 446
[TOTAL_GC_TIME_%_Copy], Time(%), 0.05136242872887202
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 147
[TOTAL_GC_TIME], Time(ms), 446
[TOTAL_GC_TIME_%], Time(%), 0.05136242872887202
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 5094.0
[CLEANUP], MinLatency(us), 5092
[CLEANUP], MaxLatency(us), 5095
[CLEANUP], 95thPercentileLatency(us), 5095
[CLEANUP], 99thPercentileLatency(us), 5095
[INSERT], Operations, 100000
[INSERT], AverageLatency(us), 8562.48668
[INSERT], MinLatency(us), 1814
[INSERT], MaxLatency(us), 445183
[INSERT], 95thPercentileLatency(us), 28079
[INSERT], 99thPercentileLatency(us), 41311
[INSERT], Return=OK, 100000
[OVERALL], RunTime(ms), 8269304
[OVERALL], Throughput(ops/sec), 193.48665861117212
[TOTAL_GCS_Copy], Count, 2313
[TOTAL_GC_TIME_Copy], Time(ms), 2757
[TOTAL_GC_TIME_%_Copy], Time(%), 0.033340169861937594
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 2313
[TOTAL_GC_TIME], Time(ms), 2757
[TOTAL_GC_TIME_%], Time(%), 0.033340169861937594
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 462464.0
[CLEANUP], MinLatency(us), 462336
[CLEANUP], MaxLatency(us), 462591
[CLEANUP], 95thPercentileLatency(us), 462591
[CLEANUP], 99thPercentileLatency(us), 462591
[INSERT], Operations, 1600000
[INSERT], AverageLatency(us), 5149.22278125
[INSERT], MinLatency(us), 1802
[INSERT], MaxLatency(us), 1549311
[INSERT], 95thPercentileLatency(us), 17519
[INSERT], 99thPercentileLatency(us), 33183
[INSERT], Return=OK, 1600000
